accession,Dataset,fits_new,outer_tepal_shape_(verbatim),outer_tepal_shape_cleansed,outer_tepal_lanceolate_acuminate,tepal_spread,tepal_spread_spreading,tepal_spread_curved,tepal_spread_twisted,tepal_spread_other,tepal_length_outer_inner_1,tepal_length_outer_inner_2,tepal_length_outer_inner_3,tepal_length_outer_inner_4,tepal_length_outer_inner_5,tepal_length_outer_inner_6,tepal_length_outer_inner_7,tepal_length_outer_inner_8,tepal_length_outer_inner_9,tepal_length_outer_inner_10,tepal_inner_length_avg,tepal_outer_length_avg,tepal_inner_outer_ratio_avg,inner_tepal_edges,inner_tepal_edges_ruffled,inner_tepal_edges_beaded,inner_tepal_edges_denticulate,inner_tepal_edges_undulate,inner_tepal_edges_scalloped,inner_tepal_edges_rolled,inner_tepal_edges_other,flowers_just_opening,flowers_per_inflo,flowers_per_info_avg,bulb_coat_reticulation,bulb-coat_honeycomb,bulb-coat_squarish,bulb-coat_irregular,bulb-coat_thickwalled,bulb-coat_sinuous,bulb-coat_variable,ovary_cresting,ovary_long_projections,notes,collection_date,country,state,county,elevation,elevation_calculated,latitude,longitude,within_lat_long_range
359022,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,not spread; not recurved,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ruffled; not beaded,Yes,No,No,No,No,No,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No bulb; Flowers were not measured,1933/04/22,U.S.A.,WA,Klickitat,141.5,141.5,45.81722,-121.15139,1
365697,2,Yes,Some sharp taper; some gradual taper; lanceolate-acuminate,some sharp taper; some gradual taper; lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,10; 10,12; 11.5,9; 9,12; 12,10; 9,10; 9,NA,NA,NA,NA,10.0833,10.5000,0.9597,some scalloped-denticulate,No,No,Yes,No,Some,No,NA,FALSE,10; 20; 18; 8; 20; 16; 12; 12,14.5,honeycomb; very sinuous,Yes,No,No,No,Yes,No,Yes,Yes,,2007/06/29,U.S.A.,WA,Kittitas,1220,1219.05,47.151667,-120.948333,1
371062,2,No,even taper,even taper,No,some spreading,Some,No,No,NA,12.5; 12,12; 11,12; 11,NA,NA,NA,NA,NA,NA,NA,11.3333,12.1667,0.9311,slightly-ruffled,Some,No,No,No,No,No,NA,FALSE,15; 14; 9; 9; 9,11.2,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,2006/07/07,U.S.A.,WA,Kittitas,1209,1199.49,47.178167,-120.5967,1
377862,2,Yes,gradual taper,gradual taper,No,upright; twisted,No,No,Yes,upright,13.5; 12,12; 11,12; 11,12.5; 11.5,13; 12,NA,NA,NA,NA,NA,11.5000,12.6000,0.9131,not ruffled; low denticulate,No,No,Yes,No,No,No,NA,FALSE,13; 13; 15,13.66666667,irregular; squarish; honeycomb; very thick walled,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,2007/05/25,U.S.A.,WA,Kittitas,584,588.28,47.08675,-120.749617,1
378776,2,Unsure,gradual taper,gradual taper,No,not spreading,No,No,No,NA,10.5; 10,10; 9.5,12; 11,NA,NA,NA,NA,NA,NA,NA,10.1667,10.8333,0.9397,slightly irregular; beaded; denticulate,No,Yes,Yes,No,No,No,slightly irregular,FALSE,9; 15; 12,12,irregular; honeycomb; not thick walled,Yes,No,Yes,No,No,No,No,Yes,,2008/06/09,U.S.A.,WA,Yakima,851,855.93,46.73701,-120.91067,1
380070,2,Yes,gradual taper,gradual taper,No,not spreading,No,No,No,NA,13; 11,12; 10,14; 12,NA,NA,NA,NA,NA,NA,NA,11.0000,13.0000,0.8455,ruffled; beaded; denticulate,Yes,Yes,Yes,No,No,No,NA,FALSE,23; 16; 6; 6,12.75,irregular; honeycomb,Yes,No,Yes,No,No,No,No,Yes,,2008/06/10,U.S.A.,WA,Yakima,702,702.6,46.72625,-120.85255,1
383177,2,No,sharp taper to tip; lanceolate-acuminate,sharp taper; lanceolate-acuminate,Yes,not spreading,No,No,No,NA,10; 9.5,12; 11.5,NA,NA,NA,NA,NA,NA,NA,NA,10.5000,11.0000,0.9542,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,12; 13,12.5,honeycomb; somewhat thick walled,Yes,No,No,some,No,No,Yes,No,,2008/05/22,U.S.A.,WA,Douglas,483,486.62,47.49858,-119.91239,1
385440,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,slightly-spreading,Some,No,No,NA,11.5; 10.5,12; 11,13; 12,12; 10.5,11; 10.5,10.5; 10,NA,NA,NA,NA,10.7500,11.6667,0.9225,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,15; 13; 14; 24,16.5,NA,NA,NA,NA,NA,NA,NA,No,No,,1980/06/03,U.S.A.,WA,Klickitat,945.35,945.35,45.9479,-120.5215,1
388478,2,Yes,gradual taper,gradual taper,No,some spreading,Some,No,No,NA,11.5; 11.5,11; 10,NA,NA,NA,NA,NA,NA,NA,NA,10.7500,11.2500,0.9545,slightly-ruffled; denticulate,Some,No,Yes,No,No,No,NA,FALSE,12; 18,15,honeycomb; not thick walled,Yes,No,No,No,No,No,No,Yes,,2006/05/20,U.S.A.,WA,Skamania,28,32.85,45.709867,-121.670233,1
392595,2,Unsure,even taper,even taper,No,some spreading,Some,No,No,NA,11; 10.5,11; 11,12; 11.5,NA,NA,NA,NA,NA,NA,NA,11.0000,11.3333,0.9710,slightly undulate; not ruffled; not beaded,No,No,No,Some,No,No,NA,FALSE,9; 15; 4; 13; 16,11.4,honeycomb; not thick walled,Yes,No,No,No,No,No,Yes,No,,2011/07/14,U.S.A.,WA,Yakima,1644,1642.03,46.90679,-121.15223,1
398650,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,mostly spreading-curved,Yes,Yes,No,NA,10; 8,9; 8,9; 8.5,10; 9,11; 10,11; 10.5,NA,NA,NA,NA,9.0000,10.0000,0.8995,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,18; 18; 15; 15,16.5,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2009/06/05,U.S.A.,WA,Grant,489,496.46,47.31649,-119.87733,1
404270,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading; twisted,Yes,No,Yes,NA,10; 9,10; 9,11; 9.5,11; 10,NA,NA,NA,NA,NA,NA,9.3750,10.5000,0.8932,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,14; 17; 23; 20; 19; 22,19.16666667,NA,NA,NA,NA,NA,NA,NA,Yes,No,,2015/06/04,U.S.A.,WA,Yakima,655,645.72,46.871,-120.972,1
406762,2,No,gradual taper,gradual taper,No,incurved,No,No,No,incurved,7; 7,8; 8,NA,NA,NA,NA,NA,NA,NA,NA,7.5000,7.5000,1.0000,not beaded; not ruffled,No,No,No,No,No,No,NA,FALSE,15; 17,16,honeycomb,Yes,No,No,No,No,No,No,No,,2010/06/30,U.S.A.,WA,Kittitas,1108,1090.39,47.17687,-120.21221,1
415920,2,Yes,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading,Yes,No,No,NA,12; 10.5,11.5; 10.5,12; 10,11.5; 10,12; 10.5,NA,NA,NA,NA,NA,10.3000,11.8000,0.8732,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,21; 28; 20,23,honeycomb; not thick walled,Yes,No,No,No,No,No,No,No,,2016/05/17,U.S.A.,WA,Klickitat,672.66,672.66,45.836967,-120.697454,1
420491,1,No,lanceolate-acuminate,lanceolate-acuminate,Yes,spreading-curved,Yes,Yes,No,NA,9.5; 9.5,9; 9,9.5; 9,10; 10,10; 10,10; 9,9; 8,10.5; 10,NA,NA,9.3125,9.6875,0.9611,slightly-ruffled; beaded,Some,Yes,No,No,No,No,NA,FALSE,13; 21; 25; 25; 17,20.2,squarish; honeycomb; irregular,Yes,Yes,Yes,No,No,No,No,No,,2015/05/26,U.S.A.,WA,Kittitas,823,826.45,46.97933,-120.21009,1
16726JWT,2,Yes,gradual taper; narrow,gradual taper; narrow,No,spreading-curved,Yes,Yes,No,NA,9.5; 9,9.3; 9,9.5; 9.2,9.5; 9,10.5; 10,NA,NA,NA,NA,NA,9.2400,9.6600,0.9567,slightly-ruffled; denticulate,Some,No,Yes,No,No,No,NA,FALSE,14; 10; 8; 10,10.5,finely sinuous; honeycomb,No,No,No,No,Yes,No,No,Yes,,1937/05/30,U.S.A.,WA,Kittitas,784.45,784.45,46.996286,-120.249522,1
21715JWT,2,No,lanceolate-acuminate,lanceolate-acuminate,Yes,some spreading,Some,No,No,NA,9.5; 8.5,10; 9.5,10.5; 10,11; 10.5,11; 10.5,9.5; 9,NA,NA,NA,NA,9.6667,10.2500,0.9423,ruffled; beaded,Yes,Yes,No,No,No,No,NA,FALSE,23; 22; 22; 25; 17,21.8,irregular; honeycomb; thick walled,Yes,No,Yes,Yes,No,No,No,No,,1940/06/01,U.S.A.,WA,Douglas,1220,609.58,47.43917,-120.07278,1
5267A,2,No,even,even taper,No,spreading-curved,Yes,Yes,No,NA,14; 13,15; 13,NA,NA,NA,NA,NA,NA,NA,NA,13.0000,14.5000,0.8976,not beaded; not ruffled,No,No,No,No,No,No,NA,FALSE,25,25,honeycomb,Yes,No,No,No,No,No,No,No,,NA,NA,NA,NA,324.69,324.69,46.60222,-120.50472,1
5267C,2,Yes,even taper,even taper,No,not spreading,No,No,No,NA,13; 11.5,12.5; 11,NA,NA,NA,NA,NA,NA,NA,NA,11.2500,12.7500,0.8823,slightly undulate; not ruffled,No,No,No,Some,No,No,NA,FALSE,23,23,honeycomb; thick walled,Yes,No,No,Yes,No,No,Yes,Yes,,NA,NA,NA,NA,277.94,277.94,46.48245,-120.51294,1
D1565,2,Yes,gradual taper; sharp,gradual taper; sharp,No,not spreading,No,No,No,NA,11; 10,10; 8,NA,NA,NA,NA,NA,NA,NA,NA,9.0000,10.5000,0.8545,slightly low denticulate,No,No,Yes,No,No,No,NA,FALSE,18; 17; 6,13.66666667,irregular; honeycomb,Yes,No,Yes,No,No,No,No,Yes,,NA,NA,NA,NA,428,474.85,47.46965,-119.88069,1
D7679,2,Yes,gradual taper,gradual taper,No,not spreading,No,No,No,NA,10; 9,11; 10,10; 8.7,10; 9,NA,NA,NA,NA,NA,NA,9.1750,10.2500,0.8948,slightly ruffled; low scallops,Some,No,No,No,Yes,No,NA,FALSE,10; 4; 10; 4; 4,6.4,very irregular; honeycomb,Yes,No,Yes,No,No,No,No,Yes,,NA,NA,NA,NA,1893,1893.94,46.71333,-121.18462,1
D7686,2,Yes,gradual taper,gradual taper,No,not spreading,No,No,No,NA,8.5; 8,10; 9.3,10; 9.5,11; 10,10; 9,9; 8.3,9.2; 9.2,NA,NA,NA,9.0429,9.6714,0.9361,slightly-ruffled,Some,No,No,No,No,No,NA,FALSE,9; 8; 8; 9; 9; 9; 9,8.714285714,very irregular; honeycomb,Yes,No,Yes,No,No,No,No,Yes,,NA,NA,NA,NA,1775,1780.6,46.71307,-121.13387,1
DG4900,2,Yes,even taper,even taper,No,not spreading,No,No,No,NA,12; 11,12; 10.5,13; 11,16; 12,13; 11,12; 11,NA,NA,NA,NA,11.0833,13.0000,0.8584,undulating edge; slightly thickened,No,No,No,Yes,No,No,slightly thickened,FALSE,12; 13; 10; 11,11.5,honeycomb; very sinuous,Yes,No,Yes,No,No,No,Yes,Yes,,NA,NA,NA,NA,800.29,800.29,46.99873,-121.1209,1
DG8686,2,Yes,gradual taper,gradual taper,No,not spreading,No,No,No,NA,9; 8.2,9; 9,9; 8.5,8.5; 8,9; 8.5,NA,NA,NA,NA,NA,8.4400,8.9000,0.9482,slightly denticulate; scalloped,No,No,Yes,No,Yes,No,NA,FALSE,6; 3; 4,4.333333333,honeycomb,Yes,No,No,No,No,No,Yes,Yes,,NA,NA,NA,NA,501,549.38,46.75108,-120.79735,1
DG8689,2,Yes,gradual taper,gradual taper,No,not spreading,No,No,No,NA,11; 11,12; 11.5,9.5; 9,NA,NA,NA,NA,NA,NA,NA,10.5000,10.8333,0.9686,low scalloped; denticulate,No,No,Yes,No,Yes,No,NA,FALSE,12; 12,12,irregular; squarish; honeycomb; thick walled,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,NA,NA,NA,NA,501,549.38,46.75108,-120.79735,1
DG8690,2,Probably,gradual taper,gradual taper,No,spreading-curved,Yes,Yes,No,NA,8; 6,8; 7.5,9.5; 8.5,NA,NA,NA,NA,NA,NA,NA,7.3333,8.5000,0.8607,slightly-ruffled; low-denticulate,Some,No,Yes,No,No,No,NA,FALSE,7; 7; 4,6,finely sinuous,No,No,No,No,Yes,No,Yes,Yes,,NA,NA,NA,NA,501,549.38,46.75108,-120.79735,1
